ï»¿Room ID,Name,Host ID,Neighbourhood,Room type,Room Price,Minimum nights,Number of reviews,Date last review,Number of reviews per month,Rooms rent by the host,Availibility,Updated Date,City,Country,Coordinates,Location
6359803,Comfortable apt. convenient location,33131852,Norrmalms,Entire home/apt,1101.0,10,3,2016-08-11,0.05,1,0,2020-06-26,Stockholm,Sweden,"59.34249699282049, 18.03977861403042","Sweden, Stockholm, Norrmalms"
6594445,65 square in central Stockholm,27532640,Norrmalms,Entire home/apt,1801.0,1,13,2019-10-18,0.24,1,96,2020-06-26,Stockholm,Sweden,"59.34026996253916, 18.04862027498825","Sweden, Stockholm, Norrmalms"
6620519,BekvÃ¤m sekelskifts trea i Hornstull,34651110,SÃ¶dermalms,Entire home/apt,1297.0,3,6,2017-07-26,0.1,1,0,2020-06-26,Stockholm,Sweden,"59.316609244841075, 18.0353628469714","Sweden, Stockholm, SÃ¶dermalms"
6666664,Top apartment with big veranda,34843569,Ãstermalms,Entire home/apt,1148.0,1,2,2015-08-10,0.03,1,0,2020-06-26,Stockholm,Sweden,"59.341452746723746, 18.065149517972085","Sweden, Stockholm, Ãstermalms"
6696234,Family apartment in SOFO - Central!,10639395,SÃ¶dermalms,Entire home/apt,1801.0,4,16,2018-08-30,0.26,1,0,2020-06-26,Stockholm,Sweden,"59.31080288217105, 18.08121975056074","Sweden, Stockholm, SÃ¶dermalms"
6830969,Beautiful apartment in Stockholm,31731146,Norrmalms,Entire home/apt,672.0,1,0,,,1,0,2020-06-26,Stockholm,Sweden,"59.345762578779905, 18.03774642958416","Sweden, Stockholm, Norrmalms"
6832409,Cozy apartment 10 min from Center!,11387422,Norrmalms,Entire home/apt,691.0,2,4,2016-08-03,0.08,1,0,2020-06-26,Stockholm,Sweden,"59.34801514411959, 18.06169948220453","Sweden, Stockholm, Norrmalms"
6835834,Quality place  close to nature,4922434,SkÃ¤rholmens,Entire home/apt,663.0,2,212,2020-03-13,3.49,3,230,2020-06-26,Stockholm,Sweden,"59.27806659209285, 17.874626440829676","Sweden, Stockholm, SkÃ¤rholmens"
6836406,Live close to the royal castle,26496190,Ãstermalms,Private room,896.0,5,14,2018-09-02,0.29,1,177,2020-06-26,Stockholm,Sweden,"59.335055700210425, 18.080109128072124","Sweden, Stockholm, Ãstermalms"
6839527,bright and spacious near everything,27593931,Ãstermalms,Entire home/apt,896.0,5,2,2015-07-20,0.03,1,0,2020-06-26,Stockholm,Sweden,"59.33766385762403, 18.099859085273227","Sweden, Stockholm, Ãstermalms"
6876826,HÃ¤rlig vÃ¥ning i bÃ¤sta lÃ¤ge!,4818461,Ãstermalms,Entire home/apt,2501.0,3,0,,,1,0,2020-06-26,Stockholm,Sweden,"59.34378021501058, 18.091266470396892","Sweden, Stockholm, Ãstermalms"
6894533,,36127708,SkarpnÃ¤cks,Entire home/apt,737.0,6,2,2015-08-27,0.03,1,0,2020-06-26,Stockholm,Sweden,"59.29769211614949, 18.092858851112673","Sweden, Stockholm, SkarpnÃ¤cks"
6923550,,28209856,Kungsholmens,Entire home/apt,999.0,5,1,2015-12-30,0.02,1,0,2020-06-26,Stockholm,Sweden,"59.31993980642994, 17.984785761611217","Sweden, Stockholm, Kungsholmens"
6925271,"Nice, bright apartment on SÃ¶dermalm",17121960,SÃ¶dermalms,Entire home/apt,1250.0,3,5,2016-08-14,0.08,1,0,2020-06-26,Stockholm,Sweden,"59.31511157714836, 18.07842773326071","Sweden, Stockholm, SÃ¶dermalms"
7004837,1 bdrm apt 8 min from Globen,10174433,Enskede-Ãrsta-VantÃ¶rs,Entire home/apt,551.0,2,1,2015-09-05,0.02,1,0,2020-06-26,Stockholm,Sweden,"59.263429975829, 18.031993274097882","Sweden, Stockholm, Enskede-Ãrsta-VantÃ¶rs"
